"","fileName","fileNum","cumSumNum","uniqueUsers","cumSumUniq"
"1","2013Nov20_00.RData",70723,70723,56930,56930
"2","2013Nov20_01.RData",52433,123156,42799,99729
"3","2013Nov20_02.RData",30719,153875,25213,124942
"4","2013Nov20_03.RData",15564,169439,12837,137779
"5","2013Nov20_04.RData",7557,176996,6182,143961
"6","2013Nov20_05.RData",5235,182231,4034,147995
"7","2013Nov20_06.RData",9307,191538,7166,155161
"8","2013Nov20_07.RData",19003,210541,15244,170405
"9","2013Nov20_08.RData",28437,238978,22734,193139
"10","2013Nov20_09.RData",38752,277730,30804,223943
"11","2013Nov20_10.RData",49690,327420,39452,263395
"12","2013Nov20_11.RData",55119,382539,43513,306908
"13","2013Nov20_12.RData",58820,441359,46479,353387
"14","2013Nov20_13.RData",58103,499462,45833,399220
"15","2013Nov20_14.RData",58698,558160,46356,445576
"16","2013Nov20_15.RData",59047,617207,46535,492111
"17","2013Nov20_16.RData",58643,675850,46700,538811
"18","2013Nov20_17.RData",63615,739465,50440,589251
"19","2013Nov20_18.RData",50456,789921,39875,629126
"20","2013Nov20_20.RData",54884,844805,43352,672478
"21","2013Nov20_21.RData",78094,922899,61935,734413
"22","2013Nov20_22.RData",78632,1001531,62228,796641
"23","2013Nov20_23.RData",77025,1078556,61413,858054
"24","2013Nov21_00.RData",71797,1150353,57620,915674
"25","2013Nov21_01.RData",53151,1203504,43098,958772
"26","2013Nov21_02.RData",30764,1234268,25187,983959
"27","2013Nov21_03.RData",16335,1250603,13480,997439
"28","2013Nov21_04.RData",8374,1258977,6837,1004276
"29","2013Nov21_05.RData",5463,1264440,4310,1008586
"30","2013Nov21_06.RData",10089,1274529,8017,1016603
"31","2013Nov21_07.RData",19376,1293905,15556,1032159
"32","2013Nov21_08.RData",28196,1322101,22167,1054326
"33","2013Nov21_09.RData",40265,1362366,31723,1086049
"34","2013Nov21_10.RData",49609,1411975,39225,1125274
"35","2013Nov21_11.RData",55834,1467809,44229,1169503
"36","2013Nov21_12.RData",60043,1527852,47106,1216609
"37","2013Nov21_13.RData",59635,1587487,46851,1263460
"38","2013Nov21_14.RData",60473,1647960,46874,1310334
